,AirportID,Latitude,Longitude,AirportLatitude,AirportLongitude,PayingPax,Fare,Distance_mile
214,PHX,33.452292,-112.070359,33.435893,-112.008254,1,12.0,4.70906809151
215,PHX,33.419537,-111.82797,33.435893,-112.008254,1,17.0,11.5130789371
216,PHX,33.449946,-112.071984,33.435893,-112.008254,1,12.0,4.64074112926
217,PHX,33.661677,-111.95893,33.435893,-112.008254,1,23.0,18.4250282229
218,PHX,33.661613,-111.958925,33.435893,-112.008254,1,22.0,18.4208988216
219,PHX,33.512365,-112.11689,33.435893,-112.008254,1,15.0,11.5355492982
220,PHX,33.62296,-111.93392,33.435893,-112.008254,1,20.0,17.1932591659
221,PHX,33.625796,-111.932793,33.435893,-112.008254,1,20.0,17.4539189705
222,PHX,33.452136,-112.07374,33.435893,-112.008254,2,24.0,4.8930425503
223,PHX,33.595732,-111.98569,33.435893,-112.008254,1,20.0,12.3320385325
224,PHX,33.449946,-112.071984,33.435893,-112.008254,1,13.0,4.64074112926
225,PHX,33.524305,-112.022672,33.435893,-112.008254,1,15.0,6.93281712549
226,PHX,33.375233,-111.971407,33.435893,-112.008254,2,34.0,6.30920951216
227,PHX,33.566811,-111.918196,33.435893,-112.008254,1,21.0,14.2234385611
228,PHX,33.548745,-111.91569,33.435893,-112.008254,1,20.0,13.1208333703
229,PHX,33.452292,-112.070359,33.435893,-112.008254,1,12.0,4.70906809151
230,PHX,33.376256,-111.97182,33.435893,-112.008254,1,17.0,6.2148118569
231,PHX,33.376256,-111.97182,33.435893,-112.008254,1,17.0,6.2148118569
232,PHX,33.51133,-112.113512,33.435893,-112.008254,1,15.0,11.2695426774
233,PHX,33.37782,-111.96313,33.435893,-112.008254,1,15.0,6.60739615063
234,PHX,33.305457,-111.90359,33.435893,-112.008254,1,21.0,15.0314594439
235,PHX,33.292133,-111.7545,33.435893,-112.008254,1,24.0,24.5385221943
236,PHX,33.37782,-111.96313,33.435893,-112.008254,1,15.0,6.60739615063
237,PHX,33.49681,-111.92484,33.435893,-112.008254,4,60.0,9.00915582912
238,PHX,33.49681,-111.92484,33.435893,-112.008254,3,45.0,9.00915582912
239,PHX,33.49681,-111.92484,33.435893,-112.008254,4,60.0,9.00915582912
240,PHX,33.449946,-112.071984,33.435893,-112.008254,1,13.0,4.64074112926
241,PHX,33.376256,-111.97182,33.435893,-112.008254,1,16.0,6.2148118569
242,PHX,33.376256,-111.97182,33.435893,-112.008254,1,17.0,6.2148118569
243,PHX,33.49681,-111.92484,33.435893,-112.008254,4,60.0,9.00915582912
244,PHX,33.512365,-112.11689,33.435893,-112.008254,1,15.0,11.5355492982
245,PHX,33.512365,-112.11689,33.435893,-112.008254,1,15.0,11.5355492982
246,PHX,33.376256,-111.97182,33.435893,-112.008254,1,17.0,6.2148118569
247,PHX,33.447393,-112.073268,33.435893,-112.008254,1,12.0,4.53848542934
248,PHX,33.303922,-111.842728,33.435893,-112.008254,1,20.0,18.6429912296
249,PHX,33.64516,-111.917529,33.435893,-112.008254,1,25.0,19.6696467829
250,PHX,33.66329,-111.95478,33.435893,-112.008254,2,46.0,18.7753958164
251,PHX,33.644802,-111.9146,33.435893,-112.008254,1,25.0,19.8136441274
252,PHX,33.512366,-112.114199,33.435893,-112.008254,1,14.0,11.3806197092
253,PHX,33.683434,-111.966133,33.435893,-112.008254,1,23.0,19.5118508907
254,PHX,33.499129,-111.92441,33.435893,-112.008254,1,17.0,9.19398492925
255,PHX,33.376256,-111.97182,33.435893,-112.008254,1,17.0,6.2148118569
256,PHX,33.374266,-111.971726,33.435893,-112.008254,1,17.0,6.35757955424
257,PHX,33.376256,-111.97182,33.435893,-112.008254,1,17.0,6.2148118569
258,PHX,33.378002,-111.96311,33.435893,-112.008254,1,15.0,6.59598615919
259,PHX,33.376256,-111.97182,33.435893,-112.008254,1,17.0,6.2148118569
260,PHX,33.376256,-111.97182,33.435893,-112.008254,1,17.0,6.2148118569
261,PHX,33.639224,-111.89621,33.435893,-112.008254,2,30.0,20.4878840566
262,PHX,33.639224,-111.89621,33.435893,-112.008254,2,30.0,20.4878840566
263,PHX,33.374266,-111.971726,33.435893,-112.008254,1,17.0,6.35757955424
264,PHX,33.449593,-112.07132,33.435893,-112.008254,1,13.0,4.57813076474
265,PHX,33.376256,-111.97182,33.435893,-112.008254,1,17.0,6.2148118569
266,PHX,33.564377,-111.923527,33.435893,-112.008254,1,21.0,13.7483797845
267,PHX,33.491415,-112.07905,33.435893,-112.008254,1,15.0,7.91000033588
268,PHX,33.450383,-112.075795,33.435893,-112.008254,1,13.0,4.89041304502
269,PHX,33.374266,-111.971726,33.435893,-112.008254,2,34.0,6.35757955424
270,PHX,33.374266,-111.971726,33.435893,-112.008254,1,16.0,6.35757955424
271,PHX,33.512366,-112.114199,33.435893,-112.008254,2,28.0,11.3806197092
272,PHX,33.455387,-111.987,33.435893,-112.008254,1,15.0,2.56971810808
273,PHX,33.625796,-111.932793,33.435893,-112.008254,1,21.0,17.4539189705
274,PHX,33.639224,-111.89621,33.435893,-112.008254,2,35.2,20.4878840566
275,PHX,33.531256,-112.265334,33.435893,-112.008254,1,17.0,21.389647461
276,PHX,33.304321,-111.97068,33.435893,-112.008254,1,20.0,11.2455584727
277,PHX,33.452237,-112.070541,33.435893,-112.008254,1,13.0,4.71575489074
278,PHX,33.540935,-111.926711,33.435893,-112.008254,1,16.0,11.9469756507
279,PHX,33.639224,-111.89621,33.435893,-112.008254,4,72.0,20.4878840566
280,PHX,33.632424,-112.235851,33.435893,-112.008254,1,25.0,26.6742587743
281,PHX,33.510481,-111.92588,33.435893,-112.008254,1,17.0,9.89285014035
282,PHX,33.639224,-111.89621,33.435893,-112.008254,2,36.0,20.4878840566
283,PHX,33.409918,-112.03109,33.435893,-112.008254,1,11.0,3.10816991048
284,PHX,33.614207,-111.893353,33.435893,-112.008254,1,19.0,18.9257254693
285,PHX,33.538605,-111.86971,33.435893,-112.008254,1,21.0,15.0693490837
286,PHX,33.291406,-111.752802,33.435893,-112.008254,1,29.0,24.6865039035
287,PHX,33.538605,-111.86971,33.435893,-112.008254,1,21.0,15.0693490837
288,PHX,33.538605,-111.86971,33.435893,-112.008254,1,21.0,15.0693490837
289,PHX,33.510481,-111.92588,33.435893,-112.008254,1,17.0,9.89285014035
290,PHX,33.449593,-112.07132,33.435893,-112.008254,1,13.0,4.57813076474
291,PHX,33.510481,-111.92588,33.435893,-112.008254,1,17.0,9.89285014035
292,PHX,33.408114,-111.68446,33.435893,-112.008254,1,21.0,20.567526521
293,PHX,33.530945,-111.97211,33.435893,-112.008254,1,17.0,8.64251556445
